{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786704', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786736', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786768', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786801', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786833', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786875', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786920', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786942', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309786976', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787006', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787037', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787068', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787112', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787133', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787175', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787206', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787238', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787281', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787313', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787344', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787376', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787409', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787441', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787474', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787505', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787558', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787580', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787603', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787635', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787667', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787699', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787744', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787775', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787809', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787841', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787873', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787904', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787937', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309787970', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788002', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788046', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788078', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788109', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788142', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788174', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788206', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788238', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788270', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788313', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788345', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788377', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788410', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788441', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788473', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788504', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788536', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788572', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788602', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788633', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788676', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788708', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788742', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788778', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788806', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788838', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788871', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788913', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Push', 'Which': 's', 'AlgoTime': '1613309788945', 'TimeType': 'ms', 'Detail': 'FrameTime'}
