{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221099', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221130', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221161', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221194', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221236', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221268', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221300', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221330', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221364', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221396', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221428', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221463', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221504', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221537', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221570', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221604', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221634', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221666', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221697', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221729', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221761', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221803', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221835', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221923', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221934', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221943', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323221971', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323222003', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'RGB_Pop', 'Which': 's', 'AlgoTime': '1613323222036', 'TimeType': 'ms', 'Detail': 'FrameTime'}
