{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822635', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822637', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822667', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822670', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822707', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822710', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822738', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822741', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822772', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822775', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822803', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822806', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822835', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822838', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822877', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822879', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822909', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822911', 'TimeType': 'ms', 'Detail': '0'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822942', 'TimeType': 'ms', 'Detail': '1'}
{'LogType': 'RGB_Buffer_Count', 'Which': 's', 'AlgoTime': '1613468822950', 'TimeType': 'ms', 'Detail': '0'}
