{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823466', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823501', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823546', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823584', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823624', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823662', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823705', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823741', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823784', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823825', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823865', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823904', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823945', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468823986', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824025', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824062', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824105', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824143', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824184', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824225', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824263', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824303', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824345', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824386', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824423', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824465', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824502', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824545', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824584', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824624', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824666', 'TimeType': 'ms', 'Detail': 'FrameTime'}
{'LogType': 'Net_Consume', 'Which': 's', 'AlgoTime': '1613468824703', 'TimeType': 'ms', 'Detail': 'FrameTime'}
